FirstName,MiddleName,LastName,DOB,PhoneNumber,Email,StreetAddress,CurrentDate,FutureDate,Sent,SendText,SocialSecurity,EmergencyContact,VaccinationType
Chris1,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,One Washington Square,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris4,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,Two Washington ,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris5,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,5 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris6,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,6 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris8,H,Pham,1011964,4083321091,ee104sjsu@gmail.com,8 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris9,9,Pham,1011964,4083321091,ee104sjsu@gmail.com,9 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris10,10,Pham,1011964,4083321091,ee104sjsu@gmail.com,10 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris11,11,Pham,1011964,4083321091,ee104sjsu@gmail.com,11 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Chris12,12,Pham,1011964,4083321091,ee104sjsu@gmail.com,12 Washington,2022-08-28 00:05:00,2022-09-18 00:05:00,1,14083321091,,,
Christopher,1,Pham,1011960,4083321091,ee104sjsu@gmail.com,One Washington Square,2022-08-29 00:05:00,2022-09-19 00:05:00,1,14083321091,,,
Chris101,101,Pham,1011964,4156406283,ee104sjsu@gmail.com,101 SJSU St,2022-09-09 00:05:00,2022-09-30 00:05:00,1,14156406283,,,
Test1,T,Nguyen,4202000,4086444882,displaynamesir@gmail.com,1190 Theoden Court,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,,,
Pete,Thang,Ndwad,4202000,4086444882,peter.t.nguyen@sjsu.edu,1190 Theoden Co,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,,,
Davis,Trans,dewf,4121921,4086444882,displaynamesir@gmail.com,1312 Franker Way,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,,,
Pete,Toot,Danger,5202000,4086444882,displaynamesir@gmail.com,3713 Geoland Ct,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,8888888.0,7777777,6666666
Pete,Toot,Danger,5202000,4086444882,displaynamesir@gmail.com,3713 Geoland Ct,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,8888888.0,7777777,6666666
Uh,Oh,Crap,4202000,4086444882,displaynamesir@gmail.com,1190 Frakland Ct,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,11111.0,22222,33333
Bochi,Dinh,Nguyen,7192021,4086444882,displaynamesir@gmail.com,3213 Frankers Way,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,321413412.0,4073217432,Phizer
Jason,Tan,Tran,4232020,4086444882,displaynamesir@gmail.com,1313 Franken Doobie,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,132479815.0,4087623212,Moderna
Jason,Tan,Tran,4232020,4086444882,displaynamesir@gmail.com,1313 Franken Doobie,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,132479815.0,4087623212,Moderna
Based,Fe,Dang,4232134,4086444882,peter.t.nguyen@sjsu.edu,3121 Franklinnnn Way,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,12385284712.0,Moderna,Que
James,Dinh,Nguyen,5222016,4086444882,nguyenpeter8574@gmail.com,6371 Roland Way,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,382721731.0,4088129472,Moderna
Watermelon,Trinh,Dad,2112020,4086444882,nguyenpeter8574@gmail.com,1312 Ronald Donald Way,2023-02-15 00:05:00,2023-03-08 00:05:00,1,14086444882,481324716.0,4087292813,Moderna
